transaction_id,bill_id,date,store_id,store_location,customer_id,customer_segment,product_id,product_category,product_name,quantity,unit_price,payment_method,discount_applied,channel
TXN-2025-0015,BILL-1281,2025-01-16,S3,Suburban,C021,Regular,P348,Personal Care,Shampoo 250ml,1,9.8,Cash,0.5,Online
TXN-2025-0016,BILL-1204,2025-01-11,S2,Uptown,C136,Loyal,P208,Snacks,Potato Chips,5,7.8,UPI,0.5,Online
TXN-2025-0017,BILL-1283,2025-02-12,S3,Suburban,C096,New,P331,Personal Care,Shampoo 250ml,1,3.23,Credit Card,0.0,In-store
TXN-2025-0018,BILL-1263,2025-01-15,S3,Suburban,C057,Regular,P130,Beverages,Orange Juice 1L,2,1.61,Credit Card,0.0,In-store
TXN-2025-0019,BILL-1208,2025-01-16,S2,Uptown,C172,New,P376,Beverages,Orange Juice 1L,2,7.51,Cash,2.0,Online
TXN-2025-0020,BILL-1031,2025-01-13,S1,Downtown,C025,Loyal,P281,Snacks,Potato Chips,4,4.7,UPI,0.0,In-store
TXN-2025-0021,BILL-1142,2025-01-26,S3,Suburban,C087,Regular,P198,Beverages,Orange Juice 1L,2,5.83,Credit Card,0.5,In-store
TXN-2025-0022,BILL-1085,2025-01-30,S1,Downtown,C020,New,P150,Personal Care,Shampoo 250ml,1,6.87,Cash,0.0,In-store
TXN-2025-0023,BILL-1146,2025-01-27,S2,Uptown,C124,Regular,P130,Snacks,Potato Chips,2,4.41,Credit Card,2.0,Online
TXN-2025-0024,BILL-1160,2025-01-28,S3,Suburban,C188,Loyal,P349,Personal Care,Shampoo 250ml,2,2.71,Cash,0.5,In-store
TXN-2025-0025,BILL-1034,2025-01-04,S1,Downtown,C150,New,P371,Personal Care,Shampoo 250ml,2,1.51,Cash,0.0,In-store
TXN-2025-0026,BILL-1133,2025-02-13,S1,Downtown,C104,Regular,P226,Personal Care,Shampoo 250ml,5,6.35,Credit Card,0.0,Online
TXN-2025-0027,BILL-1037,2025-01-14,S3,Suburban,C184,New,P235,Beverages,Orange Juice 1L,4,2.18,Credit Card,1.0,Online
TXN-2025-0028,BILL-1035,2025-01-01,S2,Uptown,C160,Loyal,P137,Beverages,Orange Juice 1L,5,2.92,Cash,1.0,Online
TXN-2025-0029,BILL-1053,2025-02-26,S1,Downtown,C095,New,P324,Beverages,Orange Juice 1L,5,7.33,UPI,0.0,Online
TXN-2025-0030,BILL-1104,2025-03-02,S1,Downtown,C068,Regular,P383,Beverages,Orange Juice 1L,2,3.45,UPI,0.5,Online
TXN-2025-0031,BILL-1001,2025-02-13,S3,Suburban,C068,Loyal,P228,Snacks,Potato Chips,1,1.83,Credit Card,2.0,In-store
TXN-2025-0032,BILL-1076,2025-01-22,S1,Downtown,C164,New,P326,Beverages,Orange Juice 1L,5,7.35,Cash,0.0,In-store
TXN-2025-0033,BILL-1183,2025-02-04,S1,Downtown,C095,Loyal,P175,Personal Care,Shampoo 250ml,4,2.15,Credit Card,1.0,In-store
TXN-2025-0034,BILL-1121,2025-01-14,S3,Suburban,C064,Loyal,P281,Beverages,Orange Juice 1L,5,8.96,UPI,2.0,In-store
TXN-2025-0035,BILL-1136,2025-02-25,S1,Downtown,C046,New,P191,Beverages,Orange Juice 1L,3,8.04,UPI,2.0,In-store
TXN-2025-0036,BILL-1116,2025-01-11,S3,Suburban,C028,New,P340,Beverages,Orange Juice 1L,2,2.8,Credit Card,2.0,Online
TXN-2025-0037,BILL-1274,2025-01-15,S1,Downtown,C169,Regular,P268,Snacks,Potato Chips,3,8.78,Credit Card,1.0,Online
TXN-2025-0038,BILL-1223,2025-01-22,S1,Downtown,C030,New,P397,Beverages,Orange Juice 1L,3,1.34,Credit Card,2.0,Online
TXN-2025-0039,BILL-1186,2025-02-08,S3,Suburban,C030,New,P197,Personal Care,Shampoo 250ml,3,1.4,Cash,2.0,In-store
TXN-2025-0040,BILL-1209,2025-01-28,S1,Downtown,C171,New,P260,Personal Care,Shampoo 250ml,1,7.48,UPI,1.0,Online
TXN-2025-0041,BILL-1291,2025-01-21,S2,Uptown,C179,New,P165,Personal Care,Shampoo 250ml,2,4.78,UPI,2.0,In-store
TXN-2025-0042,BILL-1226,2025-01-20,S2,Uptown,C141,Regular,P246,Snacks,Potato Chips,2,4.87,Credit Card,1.0,Online
TXN-2025-0043,BILL-1158,2025-02-13,S1,Downtown,C131,New,P186,Personal Care,Shampoo 250ml,1,3.55,Cash,1.0,In-store
TXN-2025-0044,BILL-1294,2025-01-15,S1,Downtown,C038,Regular,P225,Beverages,Orange Juice 1L,4,6.5,Credit Card,0.0,Online
TXN-2025-0045,BILL-1112,2025-01-13,S3,Suburban,C179,New,P304,Snacks,Potato Chips,2,2.33,Cash,0.0,Online
TXN-2025-0046,BILL-1237,2025-01-12,S3,Suburban,C133,New,P385,Beverages,Orange Juice 1L,2,9.26,Credit Card,0.0,In-store
TXN-2025-0047,BILL-1081,2025-02-12,S3,Suburban,C144,Loyal,P326,Snacks,Potato Chips,5,8.34,UPI,2.0,Online
TXN-2025-0048,BILL-1039,2025-02-17,S2,Uptown,C116,New,P241,Beverages,Orange Juice 1L,5,5.36,Credit Card,0.5,Online
TXN-2025-0049,BILL-1078,2025-02-15,S2,Uptown,C061,New,P263,Snacks,Potato Chips,5,1.73,Cash,0.5,Online
TXN-2025-0050,BILL-1199,2025-02-15,S1,Downtown,C017,New,P269,Snacks,Potato Chips,5,5.19,Cash,0.0,Online
TXN-2025-0051,BILL-1214,2025-02-27,S3,Suburban,C179,Regular,P294,Personal Care,Shampoo 250ml,4,1.05,Credit Card,1.0,Online
TXN-2025-0052,BILL-1199,2025-02-04,S3,Suburban,C189,Loyal,P212,Personal Care,Shampoo 250ml,4,2.97,Credit Card,2.0,In-store
TXN-2025-0053,BILL-1042,2025-01-22,S3,Suburban,C174,New,P184,Personal Care,Shampoo 250ml,4,9.28,Credit Card,0.0,In-store
TXN-2025-0054,BILL-1172,2025-02-11,S2,Uptown,C035,New,P125,Beverages,Orange Juice 1L,3,4.41,Credit Card,0.5,Online
TXN-2025-0055,BILL-1035,2025-02-18,S2,Uptown,C072,New,P141,Snacks,Potato Chips,4,1.17,Credit Card,0.0,In-store
TXN-2025-0056,BILL-1058,2025-02-19,S3,Suburban,C011,Regular,P202,Beverages,Orange Juice 1L,1,6.59,Cash,0.5,Online
TXN-2025-0057,BILL-1055,2025-02-06,S1,Downtown,C120,Loyal,P288,Snacks,Potato Chips,2,6.45,Cash,0.0,Online
TXN-2025-0058,BILL-1052,2025-02-07,S1,Downtown,C080,Loyal,P292,Personal Care,Shampoo 250ml,4,9.47,Cash,0.5,In-store
TXN-2025-0059,BILL-1035,2025-02-14,S2,Uptown,C176,Loyal,P389,Beverages,Orange Juice 1L,1,4.12,UPI,2.0,Online
TXN-2025-0060,BILL-1078,2025-02-02,S3,Suburban,C088,Regular,P350,Snacks,Potato Chips,1,4.9,UPI,1.0,Online
TXN-2025-0061,BILL-1137,2025-01-28,S1,Downtown,C188,Loyal,P238,Personal Care,Shampoo 250ml,5,8.27,Credit Card,2.0,Online
TXN-2025-0062,BILL-1253,2025-01-21,S1,Downtown,C023,New,P224,Snacks,Potato Chips,4,6.13,Credit Card,2.0,In-store
TXN-2025-0063,BILL-1264,2025-02-24,S2,Uptown,C047,New,P281,Beverages,Orange Juice 1L,3,4.06,UPI,1.0,In-store
TXN-2025-0064,BILL-1251,2025-03-02,S1,Downtown,C022,Regular,P308,Personal Care,Shampoo 250ml,4,6.0,UPI,0.5,Online
TXN-2025-0065,BILL-1217,2025-01-29,S1,Downtown,C024,New,P307,Beverages,Orange Juice 1L,2,3.76,Credit Card,1.0,Online
TXN-2025-0066,BILL-1161,2025-02-17,S3,Suburban,C085,New,P332,Personal Care,Shampoo 250ml,3,3.76,Cash,0.5,In-store
TXN-2025-0067,BILL-1051,2025-01-08,S3,Suburban,C138,Loyal,P198,Beverages,Orange Juice 1L,2,7.65,UPI,1.0,Online
TXN-2025-0068,BILL-1027,2025-02-23,S1,Downtown,C076,Regular,P191,Snacks,Potato Chips,3,1.13,Credit Card,0.5,In-store
TXN-2025-0069,BILL-1225,2025-02-05,S2,Uptown,C179,Regular,P351,Personal Care,Shampoo 250ml,1,8.85,Credit Card,1.0,Online
TXN-2025-0070,BILL-1077,2025-01-22,S1,Downtown,C014,New,P158,Snacks,Potato Chips,1,4.61,UPI,0.0,In-store
TXN-2025-0071,BILL-1230,2025-01-10,S3,Suburban,C078,Regular,P160,Beverages,Orange Juice 1L,5,7.88,UPI,0.5,Online
TXN-2025-0072,BILL-1135,2025-02-28,S2,Uptown,C077,Loyal,P256,Snacks,Potato Chips,5,6.59,Cash,0.0,In-store
TXN-2025-0073,BILL-1149,2025-02-12,S1,Downtown,C041,Regular,P382,Beverages,Orange Juice 1L,1,2.41,Credit Card,2.0,Online
TXN-2025-0074,BILL-1217,2025-01-03,S1,Downtown,C074,Loyal,P332,Snacks,Potato Chips,1,7.19,UPI,1.0,In-store
TXN-2025-0075,BILL-1224,2025-01-08,S3,Suburban,C058,Loyal,P236,Beverages,Orange Juice 1L,2,1.64,Credit Card,0.5,Online
TXN-2025-0076,BILL-1020,2025-01-08,S2,Uptown,C177,New,P306,Personal Care,Shampoo 250ml,3,5.5,Credit Card,2.0,In-store
TXN-2025-0077,BILL-1295,2025-02-26,S2,Uptown,C189,New,P228,Personal Care,Shampoo 250ml,1,1.82,UPI,0.0,Online
TXN-2025-0078,BILL-1046,2025-01-03,S1,Downtown,C121,Loyal,P326,Personal Care,Shampoo 250ml,3,2.63,UPI,2.0,Online
TXN-2025-0079,BILL-1281,2025-01-31,S2,Uptown,C105,New,P153,Snacks,Potato Chips,2,3.97,Credit Card,2.0,Online
TXN-2025-0080,BILL-1277,2025-01-03,S2,Uptown,C023,New,P265,Snacks,Potato Chips,1,9.73,UPI,2.0,In-store
TXN-2025-0081,BILL-1136,2025-01-30,S2,Uptown,C014,Regular,P285,Personal Care,Shampoo 250ml,5,7.81,Cash,2.0,In-store
TXN-2025-0082,BILL-1159,2025-02-05,S1,Downtown,C074,New,P348,Personal Care,Shampoo 250ml,1,1.26,UPI,0.5,In-store
TXN-2025-0083,BILL-1255,2025-02-05,S1,Downtown,C142,New,P215,Beverages,Orange Juice 1L,1,5.15,UPI,0.0,In-store
TXN-2025-0084,BILL-1282,2025-03-01,S3,Suburban,C075,Loyal,P239,Personal Care,Shampoo 250ml,4,8.51,Cash,2.0,Online
TXN-2025-0085,BILL-1001,2025-01-10,S2,Uptown,C049,Loyal,P169,Personal Care,Shampoo 250ml,1,3.49,Credit Card,2.0,Online
TXN-2025-0086,BILL-1282,2025-01-19,S3,Suburban,C077,Loyal,P350,Personal Care,Shampoo 250ml,2,5.02,Credit Card,2.0,Online
TXN-2025-0087,BILL-1162,2025-02-18,S3,Suburban,C097,New,P196,Snacks,Potato Chips,2,6.15,Credit Card,0.5,In-store
TXN-2025-0088,BILL-1051,2025-02-17,S2,Uptown,C181,New,P177,Snacks,Potato Chips,4,9.68,UPI,0.5,Online
TXN-2025-0089,BILL-1135,2025-02-25,S2,Uptown,C026,Loyal,P107,Snacks,Potato Chips,2,4.69,Cash,0.5,Online
TXN-2025-0090,BILL-1277,2025-01-22,S3,Suburban,C178,New,P141,Personal Care,Shampoo 250ml,3,8.67,Credit Card,2.0,Online
TXN-2025-0091,BILL-1227,2025-01-03,S3,Suburban,C018,Regular,P247,Personal Care,Shampoo 250ml,2,7.72,Cash,2.0,In-store
TXN-2025-0092,BILL-1125,2025-01-11,S3,Suburban,C077,Regular,P266,Beverages,Orange Juice 1L,1,3.64,Credit Card,1.0,In-store
TXN-2025-0093,BILL-1254,2025-02-03,S2,Uptown,C145,Loyal,P187,Beverages,Orange Juice 1L,2,1.71,UPI,2.0,In-store
TXN-2025-0094,BILL-1279,2025-02-28,S3,Suburban,C037,Regular,P230,Snacks,Potato Chips,4,3.3,Credit Card,0.0,Online
TXN-2025-0095,BILL-1196,2025-01-11,S1,Downtown,C114,New,P253,Personal Care,Shampoo 250ml,4,7.21,Credit Card,2.0,In-store
TXN-2025-0096,BILL-1140,2025-02-24,S2,Uptown,C028,Regular,P392,Snacks,Potato Chips,3,6.17,Cash,1.0,Online
TXN-2025-0097,BILL-1112,2025-01-01,S3,Suburban,C176,Loyal,P354,Beverages,Orange Juice 1L,3,7.98,UPI,0.5,Online
TXN-2025-0098,BILL-1017,2025-02-10,S1,Downtown,C159,New,P170,Personal Care,Shampoo 250ml,1,9.13,Credit Card,0.0,Online
TXN-2025-0099,BILL-1276,2025-02-07,S2,Uptown,C188,Regular,P251,Beverages,Orange Juice 1L,3,7.73,Cash,0.5,In-store
TXN-2025-0100,BILL-1058,2025-02-26,S2,Uptown,C136,Loyal,P184,Snacks,Potato Chips,3,9.23,Credit Card,2.0,Online
TXN-2025-0101,BILL-1274,2025-01-30,S1,Downtown,C037,Regular,P303,Personal Care,Shampoo 250ml,5,4.29,Cash,2.0,Online
TXN-2025-0102,BILL-1241,2025-01-08,S2,Uptown,C095,Loyal,P234,Personal Care,Shampoo 250ml,5,4.43,Cash,1.0,In-store
TXN-2025-0103,BILL-1209,2025-01-02,S3,Suburban,C144,New,P213,Personal Care,Shampoo 250ml,1,6.72,UPI,2.0,Online
TXN-2025-0104,BILL-1189,2025-01-08,S1,Downtown,C012,Regular,P352,Snacks,Potato Chips,1,1.87,Credit Card,0.5,Online
TXN-2025-0105,BILL-1143,2025-02-12,S3,Suburban,C179,Loyal,P179,Snacks,Potato Chips,4,6.89,UPI,2.0,Online
TXN-2025-0106,BILL-1278,2025-01-03,S3,Suburban,C095,Regular,P327,Snacks,Potato Chips,2,8.7,UPI,0.0,Online
TXN-2025-0107,BILL-1010,2025-02-27,S3,Suburban,C092,Regular,P241,Snacks,Potato Chips,2,9.71,Cash,2.0,In-store
TXN-2025-0108,BILL-1119,2025-01-04,S2,Uptown,C063,Regular,P205,Personal Care,Shampoo 250ml,1,8.47,UPI,0.5,In-store
TXN-2025-0109,BILL-1067,2025-01-22,S1,Downtown,C153,Regular,P174,Snacks,Potato Chips,2,5.86,Cash,0.5,In-store
TXN-2025-0110,BILL-1269,2025-01-01,S2,Uptown,C061,Loyal,P108,Snacks,Potato Chips,2,3.39,UPI,0.5,Online
TXN-2025-0111,BILL-1022,2025-01-08,S3,Suburban,C017,New,P285,Snacks,Potato Chips,5,6.34,UPI,2.0,In-store
TXN-2025-0112,BILL-1251,2025-02-16,S3,Suburban,C134,New,P115,Snacks,Potato Chips,1,9.99,Credit Card,2.0,In-store
TXN-2025-0113,BILL-1232,2025-02-15,S2,Uptown,C019,Regular,P175,Snacks,Potato Chips,1,2.14,Credit Card,1.0,Online
TXN-2025-0114,BILL-1116,2025-02-02,S3,Suburban,C111,Regular,P158,Personal Care,Shampoo 250ml,5,7.49,Credit Card,0.5,Online
TXN-2025-0115,BILL-1242,2025-01-27,S2,Uptown,C117,New,P148,Snacks,Potato Chips,3,4.84,Credit Card,1.0,In-store
TXN-2025-0116,BILL-1062,2025-01-05,S1,Downtown,C022,Regular,P149,Snacks,Potato Chips,3,8.31,UPI,0.0,Online
TXN-2025-0117,BILL-1079,2025-01-27,S2,Uptown,C171,New,P126,Personal Care,Shampoo 250ml,3,6.4,Cash,1.0,In-store
TXN-2025-0118,BILL-1219,2025-02-12,S2,Uptown,C058,Regular,P384,Snacks,Potato Chips,3,2.03,UPI,1.0,In-store
TXN-2025-0119,BILL-1139,2025-02-24,S3,Suburban,C197,Loyal,P385,Personal Care,Shampoo 250ml,1,6.48,Cash,1.0,In-store
TXN-2025-0120,BILL-1015,2025-02-14,S2,Uptown,C087,New,P192,Beverages,Orange Juice 1L,2,6.1,Cash,2.0,In-store
TXN-2025-0121,BILL-1290,2025-01-06,S3,Suburban,C136,Regular,P314,Snacks,Potato Chips,4,4.07,Credit Card,1.0,Online
TXN-2025-0122,BILL-1212,2025-02-08,S1,Downtown,C014,Regular,P125,Beverages,Orange Juice 1L,1,3.45,Credit Card,2.0,Online
TXN-2025-0123,BILL-1023,2025-01-18,S1,Downtown,C194,Loyal,P276,Beverages,Orange Juice 1L,4,2.0,UPI,2.0,Online
TXN-2025-0124,BILL-1167,2025-01-15,S2,Uptown,C154,Regular,P204,Beverages,Orange Juice 1L,3,9.51,Credit Card,0.5,Online
TXN-2025-0125,BILL-1036,2025-01-08,S1,Downtown,C128,Loyal,P189,Snacks,Potato Chips,2,4.42,UPI,0.5,Online
TXN-2025-0126,BILL-1213,2025-01-26,S3,Suburban,C011,New,P335,Beverages,Orange Juice 1L,1,8.76,UPI,2.0,Online
TXN-2025-0127,BILL-1054,2025-01-19,S1,Downtown,C104,Regular,P187,Snacks,Potato Chips,5,5.14,Cash,1.0,Online
TXN-2025-0128,BILL-1086,2025-01-16,S2,Uptown,C151,New,P140,Personal Care,Shampoo 250ml,4,8.83,Cash,1.0,Online
TXN-2025-0129,BILL-1120,2025-01-05,S3,Suburban,C163,Regular,P361,Personal Care,Shampoo 250ml,2,9.15,Credit Card,1.0,In-store
TXN-2025-0130,BILL-1289,2025-01-07,S1,Downtown,C066,Regular,P178,Beverages,Orange Juice 1L,1,2.59,Credit Card,2.0,Online
TXN-2025-0131,BILL-1140,2025-02-11,S3,Suburban,C160,New,P261,Personal Care,Shampoo 250ml,2,4.96,Credit Card,2.0,Online
TXN-2025-0132,BILL-1039,2025-02-07,S1,Downtown,C091,Loyal,P258,Beverages,Orange Juice 1L,4,5.07,Credit Card,0.0,Online
TXN-2025-0133,BILL-1164,2025-02-11,S1,Downtown,C158,Loyal,P296,Personal Care,Shampoo 250ml,4,6.22,Credit Card,0.0,In-store
TXN-2025-0134,BILL-1258,2025-02-08,S2,Uptown,C129,Regular,P330,Beverages,Orange Juice 1L,1,8.3,UPI,1.0,In-store
TXN-2025-0135,BILL-1144,2025-02-11,S1,Downtown,C011,Regular,P324,Personal Care,Shampoo 250ml,4,5.72,Credit Card,0.5,Online
TXN-2025-0136,BILL-1145,2025-01-25,S2,Uptown,C199,New,P126,Personal Care,Shampoo 250ml,3,1.59,UPI,0.0,Online
TXN-2025-0137,BILL-1200,2025-01-17,S3,Suburban,C169,Loyal,P270,Beverages,Orange Juice 1L,1,6.24,Credit Card,0.5,Online
TXN-2025-0138,BILL-1216,2025-01-09,S3,Suburban,C182,Regular,P386,Snacks,Potato Chips,4,6.79,Cash,1.0,In-store
TXN-2025-0139,BILL-1070,2025-02-02,S2,Uptown,C005,New,P192,Snacks,Potato Chips,2,4.08,Cash,2.0,In-store
TXN-2025-0140,BILL-1192,2025-01-10,S1,Downtown,C076,Regular,P376,Personal Care,Shampoo 250ml,5,1.34,UPI,1.0,In-store
TXN-2025-0141,BILL-1227,2025-01-10,S1,Downtown,C047,Loyal,P184,Personal Care,Shampoo 250ml,4,1.39,UPI,1.0,In-store
TXN-2025-0142,BILL-1292,2025-02-09,S2,Uptown,C193,Loyal,P219,Snacks,Potato Chips,5,3.15,Cash,2.0,Online
TXN-2025-0143,BILL-1128,2025-01-29,S2,Uptown,C197,New,P357,Snacks,Potato Chips,5,4.77,Cash,0.5,In-store
TXN-2025-0144,BILL-1139,2025-01-04,S3,Suburban,C124,New,P152,Personal Care,Shampoo 250ml,5,8.66,Cash,1.0,In-store
TXN-2025-0145,BILL-1202,2025-01-29,S3,Suburban,C038,New,P213,Beverages,Orange Juice 1L,4,8.96,Credit Card,0.0,In-store
TXN-2025-0146,BILL-1074,2025-02-02,S2,Uptown,C061,New,P291,Beverages,Orange Juice 1L,2,1.25,UPI,0.0,Online
TXN-2025-0147,BILL-1131,2025-01-09,S1,Downtown,C074,New,P171,Personal Care,Shampoo 250ml,4,5.04,Cash,0.0,In-store
TXN-2025-0148,BILL-1062,2025-01-14,S1,Downtown,C141,Loyal,P370,Personal Care,Shampoo 250ml,4,2.0,Cash,1.0,Online
TXN-2025-0149,BILL-1263,2025-01-04,S1,Downtown,C108,Loyal,P334,Personal Care,Shampoo 250ml,1,2.0,UPI,2.0,In-store
TXN-2025-0150,BILL-1095,2025-02-06,S1,Downtown,C184,Regular,P319,Snacks,Potato Chips,1,6.53,UPI,0.5,Online
TXN-2025-0151,BILL-1022,2025-02-12,S3,Suburban,C022,Loyal,P134,Snacks,Potato Chips,5,5.9,Credit Card,0.0,Online
TXN-2025-0152,BILL-1297,2025-02-10,S2,Uptown,C096,New,P108,Personal Care,Shampoo 250ml,3,8.1,Cash,1.0,In-store
TXN-2025-0153,BILL-1245,2025-02-17,S2,Uptown,C035,Regular,P379,Snacks,Potato Chips,3,8.32,UPI,0.5,Online
TXN-2025-0154,BILL-1161,2025-02-10,S1,Downtown,C035,Regular,P334,Personal Care,Shampoo 250ml,1,3.64,Cash,0.0,In-store
TXN-2025-0155,BILL-1024,2025-03-01,S2,Uptown,C132,New,P342,Personal Care,Shampoo 250ml,3,1.33,Credit Card,0.5,Online
TXN-2025-0156,BILL-1095,2025-02-25,S3,Suburban,C085,New,P288,Beverages,Orange Juice 1L,4,9.01,Credit Card,2.0,Online
TXN-2025-0157,BILL-1279,2025-02-01,S3,Suburban,C128,New,P236,Personal Care,Shampoo 250ml,1,7.54,Credit Card,0.0,In-store
TXN-2025-0158,BILL-1179,2025-01-19,S2,Uptown,C027,Regular,P251,Snacks,Potato Chips,3,5.01,Cash,2.0,Online
TXN-2025-0159,BILL-1186,2025-01-29,S1,Downtown,C187,New,P322,Personal Care,Shampoo 250ml,3,6.76,Cash,0.0,Online
TXN-2025-0160,BILL-1034,2025-02-02,S3,Suburban,C174,Regular,P173,Beverages,Orange Juice 1L,5,7.1,Cash,2.0,In-store
TXN-2025-0161,BILL-1227,2025-01-16,S3,Suburban,C094,New,P390,Snacks,Potato Chips,1,6.45,Credit Card,2.0,Online
TXN-2025-0162,BILL-1013,2025-02-18,S1,Downtown,C147,Regular,P287,Personal Care,Shampoo 250ml,4,3.83,Cash,1.0,In-store
TXN-2025-0163,BILL-1109,2025-02-17,S1,Downtown,C128,Loyal,P387,Snacks,Potato Chips,1,3.36,UPI,1.0,Online
TXN-2025-0164,BILL-1044,2025-02-09,S2,Uptown,C178,New,P162,Beverages,Orange Juice 1L,2,8.68,Cash,2.0,Online
TXN-2025-0165,BILL-1185,2025-02-21,S3,Suburban,C082,Loyal,P133,Snacks,Potato Chips,5,5.88,Cash,1.0,In-store
TXN-2025-0166,BILL-1044,2025-02-02,S1,Downtown,C032,Regular,P221,Beverages,Orange Juice 1L,4,1.24,Credit Card,1.0,In-store
TXN-2025-0167,BILL-1064,2025-01-05,S2,Uptown,C102,Loyal,P345,Personal Care,Shampoo 250ml,5,4.7,UPI,2.0,In-store
TXN-2025-0168,BILL-1257,2025-01-21,S3,Suburban,C019,New,P364,Snacks,Potato Chips,3,2.16,Cash,0.5,Online
TXN-2025-0169,BILL-1040,2025-02-28,S1,Downtown,C032,Loyal,P255,Beverages,Orange Juice 1L,2,2.46,Credit Card,0.5,Online
TXN-2025-0170,BILL-1297,2025-01-17,S1,Downtown,C163,Loyal,P164,Snacks,Potato Chips,3,6.53,UPI,0.0,In-store
TXN-2025-0171,BILL-1295,2025-01-10,S1,Downtown,C169,Loyal,P272,Personal Care,Shampoo 250ml,5,1.37,Cash,0.0,In-store
TXN-2025-0172,BILL-1247,2025-01-17,S3,Suburban,C054,Loyal,P115,Snacks,Potato Chips,4,9.0,UPI,1.0,Online
TXN-2025-0173,BILL-1104,2025-01-16,S3,Suburban,C104,New,P137,Snacks,Potato Chips,1,2.42,Credit Card,2.0,Online
TXN-2025-0174,BILL-1163,2025-01-22,S3,Suburban,C037,New,P263,Personal Care,Shampoo 250ml,3,9.78,Credit Card,0.5,In-store
TXN-2025-0175,BILL-1127,2025-01-16,S2,Uptown,C032,New,P226,Snacks,Potato Chips,2,1.87,Credit Card,1.0,Online
TXN-2025-0176,BILL-1255,2025-02-25,S1,Downtown,C084,Loyal,P260,Personal Care,Shampoo 250ml,2,7.87,UPI,2.0,Online
TXN-2025-0177,BILL-1024,2025-02-26,S2,Uptown,C128,Regular,P301,Beverages,Orange Juice 1L,5,5.12,Cash,0.5,Online
TXN-2025-0178,BILL-1135,2025-01-04,S2,Uptown,C127,Loyal,P340,Personal Care,Shampoo 250ml,3,5.83,Credit Card,0.0,In-store
TXN-2025-0179,BILL-1037,2025-02-16,S2,Uptown,C196,New,P123,Snacks,Potato Chips,4,1.46,Credit Card,0.5,Online
TXN-2025-0180,BILL-1285,2025-01-25,S3,Suburban,C116,Loyal,P160,Snacks,Potato Chips,2,9.78,Credit Card,2.0,Online
TXN-2025-0181,BILL-1170,2025-03-02,S2,Uptown,C194,Regular,P360,Beverages,Orange Juice 1L,4,5.5,Cash,0.0,In-store
TXN-2025-0182,BILL-1153,2025-02-21,S2,Uptown,C133,New,P363,Beverages,Orange Juice 1L,2,3.95,Cash,1.0,Online
TXN-2025-0183,BILL-1056,2025-02-07,S2,Uptown,C130,Loyal,P350,Personal Care,Shampoo 250ml,5,3.7,Credit Card,0.0,Online
TXN-2025-0184,BILL-1298,2025-01-27,S3,Suburban,C079,Loyal,P113,Personal Care,Shampoo 250ml,5,5.27,UPI,0.5,In-store
TXN-2025-0185,BILL-1097,2025-01-31,S1,Downtown,C135,Loyal,P294,Personal Care,Shampoo 250ml,2,8.39,Cash,0.5,In-store
TXN-2025-0186,BILL-1070,2025-01-02,S2,Uptown,C081,New,P311,Beverages,Orange Juice 1L,2,4.69,UPI,2.0,In-store
TXN-2025-0187,BILL-1279,2025-02-03,S1,Downtown,C144,New,P344,Personal Care,Shampoo 250ml,5,4.39,Credit Card,0.5,Online
